artist,followers,genres,popularity,type,rank,daily streams,peak daily,monthly listeners,total_page_views,total_songs_count,songs_with_duration_count
Ashanti,3568738.0,r&b,71.0,artist,"3,687.2",1.357,"1,392.2","1,171.9",874413.0,9.0,3.0
Fabolous,2759951.0,nan,65.0,artist,"2,694.7",0.808,"1,563.0",263.5,4677644.0,21.0,3.0
Aitch,1260155.0,"grime, uk grime, uk drill, drill",64.0,artist,"2,240.3",0.578,"1,006.3",321.5,365047.0,2.0,0.0
Bronco,4635386.0,"grupera, norteño, cumbia, ranchera, cumbia norteña, tejano, banda",73.0,artist,"3,687.0",2.209,"3,611.0","3,330.8",57335.0,7.0,0.0
Don McLean,1154639.0,nan,63.0,artist,"1,355.4",0.566,"1,355.4","1,353.2",19679980.0,22.0,17.0
RIN,882.0,opera,20.0,artist,"2,024.8",0.306,"1,749.0","1,467.2",490851.0,5.0,0.0
Saweetie,2645636.0,nan,66.0,artist,"3,684.4",0.712,"2,302.3","1,106.5",4256524.0,13.0,4.0
Apache 207,3294676.0,german hip hop,69.0,artist,"3,681.2",1.06,"3,138.5","2,788.5",1747834.0,12.0,12.0
AYLIVA,2299495.0,german pop,70.0,artist,"2,161.5",1.532,"2,092.4","1,624.0",1080653.0,15.0,12.0
Johann Sebastian Bach,4816026.0,"classical, classical piano",76.0,artist,"3,678.9",1.654,"3,334.5",nan,49306.0,14.0,0.0
Mother Mother,4499843.0,nan,69.0,artist,"3,674.4",1.309,"3,674.4","3,667.8",3205711.0,15.0,0.0
Zac Efron,943476.0,musicals,68.0,artist,"3,468.5",1.013,"1,545.6",nan,7487561.0,3.0,0.0
Hugh Jackman,723258.0,musicals,66.0,artist,"3,073.4",0.899,"2,131.6",55.9,12473877.0,14.0,10.0
Zendaya,5275191.0,nan,68.0,artist,"3,663.4",1.063,485.6,389.3,301723.0,5.0,2.0
HUNTR/X,3725352.0,k-pop,87.0,artist,"2,262.7",13.054,"2,262.7",nan,31504239.0,19.0,0.0
KPop Demon Hunters Cast,1704344.0,k-pop,90.0,artist,"3,661.4",19.751,nan,nan,61020.0,1.0,0.0
Los Dareyes De La Sierra,1983261.0,"corrido, corridos bélicos, corridos tumbados, sierreño, electro corridos, dembow belico, banda, música mexicana",78.0,artist,"2,794.7",4.832,"1,207.7",626.2,107725.0,7.0,1.0
DMX,1724.0,nan,34.0,artist,"3,650.2",1.285,"3,226.2","2,791.6",4790376.0,15.0,2.0
Bethel Music,2216080.0,"worship, christian, pop worship, ccm",72.0,artist,"3,646.9",1.915,"3,644.3",350.1,3104814.0,16.0,0.0
Sin Bandera,6772131.0,latin pop,70.0,artist,"3,639.1",1.877,"3,355.5","3,300.1",105837.0,15.0,11.0
LUCKI,1788034.0,cloud rap,76.0,artist,"3,637.2",2.786,"3,364.9","2,895.2",1248890.0,16.0,0.0
PNAU,261257.0,nan,69.0,artist,"3,637.1",1.105,836.1,68.9,211164.0,11.0,8.0
Israel & Rodolffo,3722743.0,"sertanejo, sertanejo universitário, agronejo, piseiro, arrocha",68.0,artist,"3,622.1",1.179,"3,233.2","1,569.9",0.0,14.0,3.0
j-hope,19293327.0,"k-pop, k-rap",78.0,artist,"3,614.9",5.385,"3,316.7","2,024.1",1706868.0,9.0,0.0
Carla Morrison,5028575.0,latin indie,71.0,artist,"3,604.4",1.778,"2,826.1","2,735.3",986334.0,13.0,7.0
Annie Lennox,1755120.0,synthpop,70.0,artist,"3,598.8",2.07,983.1,976.0,478086.0,18.0,11.0
Shilpa Rao,3663924.0,"bollywood, hindi pop, desi",74.0,artist,"3,593.5",3.275,268.8,14.8,136465.0,5.0,0.0
Andy Grammer,1335042.0,nan,66.0,artist,"3,579.8",0.735,"3,390.4","3,194.9",1676007.0,16.0,8.0
Sezen Aksu,13714768.0,"arabesk, turkish pop",72.0,artist,"3,569.4",2.103,"3,458.9","3,371.7",1386585.0,14.0,6.0
Lvbel C5,4537060.0,"turkish hip hop, drill, turkish pop",75.0,artist,"3,202.6",3.564,"2,555.9","1,409.0",1224765.0,12.0,6.0
SDP,131777.0,pop punk,39.0,artist,"2,004.9",0.911,"1,804.4",834.1,391700.0,13.0,1.0
WALK THE MOON,2241575.0,nan,66.0,artist,"3,549.8",0.627,"3,480.7","3,466.1",2609833.0,16.0,14.0
Hindia,11169907.0,"indonesian indie, indonesian pop",79.0,artist,"3,545.9",6.339,"3,470.6","3,025.9",1293279.0,15.0,2.0
Thiaguinho,4122793.0,"pagode, samba",73.0,artist,"3,544.6",1.784,"2,924.8","2,495.4",11636.0,12.0,0.0
Fergie,6166696.0,nan,69.0,artist,"3,538.3",1.227,"3,181.6","1,424.9",2743607.0,14.0,7.0
ODESZA,1711192.0,"chillwave, chillstep",65.0,artist,"3,536.8",0.672,"3,213.0","1,225.0",841655.0,14.0,3.0
Lauana Prado,5872898.0,"sertanejo, sertanejo universitário",75.0,artist,"3,521.3",2.638,"2,924.9","1,973.1",0.0,13.0,2.0
Jasleen Royal,3666107.0,"hindi pop, bollywood, desi, gujarati pop, hindi indie",69.0,artist,"2,148.3",1.488,"1,974.1",75.3,221637.0,11.0,1.0
Doechii,3238265.0,nan,76.0,artist,"3,513.6",2.77,"2,652.8","2,272.9",2805086.0,14.0,5.0
Santana,22284.0,epadunk,46.0,artist,"3,511.5",1.535,"3,448.9","1,400.9",1687992.0,4.0,1.0
Juelz Santana,861722.0,nan,63.0,artist,"1,421.6",0.58,211.7,125.6,499626.0,12.0,2.0
Alonzo,2226926.0,"french rap, pop urbaine, french r&b",65.0,artist,"2,098.8",0.741,"1,075.4",605.6,1533476.0,13.0,2.0
YSY A,3849968.0,"argentine trap, trap",70.0,artist,"3,508.1",1.701,"2,518.6",651.3,619785.0,8.0,0.0
Mabel,2041525.0,nan,62.0,artist,"3,504.8",0.334,"2,299.8","1,872.9",959164.0,7.0,4.0
Mabel Matiz,5407759.0,turkish pop,66.0,artist,"1,950.4",1.012,"1,715.6","1,566.3",1070363.0,13.0,8.0
AJ Tracey,1429311.0,"grime, uk grime, uk drill, drill",65.0,artist,"2,793.2",0.701,"1,644.1",896.6,1091729.0,12.0,4.0
The Clash,3172120.0,punk,68.0,artist,"3,489.5",1.043,"3,489.5","3,489.3",3758615.0,16.0,5.0
