artist,followers,genres,popularity,type,rank,daily streams,peak daily,monthly listeners,total_page_views,total_songs_count,songs_with_duration_count
Drake,103393441.0,rap,95.0,artist,"122,491.8",48.224,"83,627.9","46,307.8",127456306.0,47.0,14.0
Taylor Swift,145960477.0,nan,100.0,artist,"114,464.0",73.087,"110,924.1","101,320.6",91931989.0,41.0,12.0
Cardi B,25984396.0,nan,81.0,artist,"21,077.3",6.05,"9,923.9","4,005.8",46310865.0,18.0,0.0
Bad Bunny,102944627.0,"reggaeton, trap latino, urbano latino, latin",96.0,artist,"108,856.3",48.179,"69,861.9","40,392.9",19689780.0,51.0,8.0
JHAYCO,9424183.0,"reggaeton, trap latino, urbano latino",80.0,artist,"15,882.5",5.066,"6,822.5","1,881.5",2446826.0,11.0,0.0
Anuel AA,44916330.0,"reggaeton, trap latino, urbano latino, latin",87.0,artist,"35,573.2",16.833,"16,435.9","5,416.7",5799685.0,35.0,8.0
The Weeknd,113413144.0,nan,94.0,artist,"86,408.1",40.98,"69,564.2","46,496.7",121152979.0,45.0,27.0
Justin Bieber,85170938.0,nan,91.0,artist,"65,506.9",26.747,"40,668.3","24,976.2",34057486.0,18.0,11.0
Ariana Grande,107551510.0,pop,91.0,artist,"60,848.3",28.3,"50,709.6","36,843.6",62888270.0,26.0,12.0
Dan + Shay,3203926.0,country,67.0,artist,"5,163.7",0.831,"4,977.4","3,589.8",3142522.0,15.0,9.0
Ed Sheeran,122959276.0,soft pop,88.0,artist,"60,704.6",19.026,"54,089.1","43,648.0",52414432.0,23.0,8.0
The Kid LAROI,6616382.0,nan,80.0,artist,"14,056.0",5.296,"12,344.9","5,888.6",6811124.0,17.0,10.0
Sean Kingston,3781061.0,nan,71.0,artist,"3,560.2",1.707,"3,255.0","2,040.2",5576581.0,17.0,7.0
Jessie J,1642059.0,nan,77.0,artist,"5,382.1",1.504,"5,255.2","2,629.7",5639844.0,16.0,0.0
Travis Scott,41249103.0,rap,90.0,artist,"60,193.5",21.593,"32,599.6","23,495.8",54443985.0,28.0,12.0
Young Thug,12450209.0,"rap, melodic rap, trap",84.0,artist,"28,645.7",8.922,"9,582.0","2,439.6",18179282.0,24.0,0.0
Eminem,104782606.0,"rap, hip hop",89.0,artist,"59,982.5",18.264,"50,468.3","30,614.4",169045643.0,43.0,5.0
Kanye West,31123634.0,rap,90.0,artist,"58,618.1",21.904,"41,510.5","25,985.5",124323734.0,40.0,10.0
JAY-Z,10408337.0,"hip hop, east coast hip hop, rap",83.0,artist,"22,155.9",8.396,"11,967.1","2,543.3",54755916.0,20.0,0.0
Big Sean,11549429.0,nan,74.0,artist,"15,444.3",2.575,"6,878.8","2,104.6",37625903.0,17.0,1.0
Lil Pump,7568948.0,nan,61.0,artist,"5,047.0",0.445,"2,412.7","1,971.8",28412943.0,16.0,13.0
Rihanna,69227410.0,nan,91.0,artist,"53,372.2",25.288,"39,127.2","26,174.1",56239101.0,29.0,11.0
Billie Eilish,119093338.0,nan,91.0,artist,"52,421.4",26.087,"51,659.3","46,425.1",69808657.0,25.0,18.0
Post Malone,47760255.0,nan,86.0,artist,"51,901.7",11.902,"46,041.3","24,190.6",42716429.0,18.0,12.0
Kendrick Lamar,44748029.0,"hip hop, west coast hip hop",89.0,artist,"51,560.2",19.627,"36,998.6","21,550.9",138295393.0,28.0,9.0
J Balvin,39168085.0,"reggaeton, latin",86.0,artist,"50,254.6",14.1,"23,029.6","7,217.5",4502600.0,18.0,0.0
Nicky Jam,20620656.0,"reggaeton, latin",81.0,artist,"24,022.7",7.075,"10,175.6","2,670.7",1838803.0,9.0,3.0
Chris Jedi,2843320.0,"trap latino, reggaeton, urbano latino",66.0,artist,"2,631.5",0.951,"1,957.6",nan,1256551.0,9.0,1.0
David Guetta,27176115.0,edm,87.0,artist,"38,072.0",14.661,"27,739.1",360.0,8130975.0,32.0,3.0
Anitta,13251712.0,"brazilian pop, funk pop, brazilian funk, funk carioca",79.0,artist,"14,119.7",4.774,"6,900.1","2,929.5",610402.0,17.0,5.0
Future,22754990.0,rap,89.0,artist,"49,194.3",18.977,"25,378.1","11,380.0",31899379.0,15.0,5.0
Jay Rock,1635914.0,nan,69.0,artist,"4,023.4",1.301,"1,708.0",287.5,12312957.0,18.0,8.0
Joyner Lucas,2416774.0,nan,67.0,artist,"4,105.3",0.876,"3,125.1","1,448.2",11387778.0,19.0,2.0
Lady Gaga,42478653.0,"art pop, pop",89.0,artist,"33,047.4",20.154,"32,512.0","20,681.5",64216210.0,28.0,13.0
Bruno Mars,75722954.0,nan,90.0,artist,"47,986.7",25.473,"34,278.0","27,889.5",42619883.0,28.0,13.0
Silk Sonic,945727.0,nan,69.0,artist,"3,462.3",1.435,nan,nan,7721689.0,5.0,5.0
BTS,131777.0,pop punk,39.0,artist,"45,471.1",11.515,"40,460.1","36,827.2",12526307.0,7.0,3.0
Ozuna,39423857.0,"reggaeton, trap latino, latin, urbano latino",86.0,artist,"43,549.3",13.912,"18,437.3","7,852.1",4229520.0,17.0,4.0
Sech,12063840.0,"reggaeton, urbano latino",78.0,artist,"18,434.2",4.603,"7,073.6","2,254.4",1756141.0,8.0,1.0
NATTI NATASHA,11049944.0,"reggaeton, latin, urbano latino, bachata",71.0,artist,"8,474.4",1.598,"3,361.7",657.3,742955.0,7.0,4.0
Juice WRLD,42674578.0,"melodic rap, emo rap",85.0,artist,"43,435.5",11.806,"31,978.4","24,963.4",29853934.0,30.0,17.0
The Chainsmokers,21376081.0,nan,80.0,artist,"22,281.4",6.151,"21,206.7","3,912.9",18786796.0,20.0,8.0
Coldplay,60972314.0,nan,88.0,artist,"42,246.5",19.415,"38,682.2","34,690.8",33931116.0,27.0,22.0
Migos,14653658.0,trap,74.0,artist,"14,894.5",2.073,"9,968.7","4,588.4",46411432.0,19.0,11.0
Nicki Minaj,34325866.0,nan,85.0,artist,"40,178.6",10.774,"15,311.1","8,964.6",42497256.0,27.0,4.0
Chris Brown,28437812.0,r&b,88.0,artist,"39,814.5",17.045,"21,896.9","10,935.5",16150839.0,16.0,2.0
Jordin Sparks,2523706.0,nan,63.0,artist,"1,435.3",0.644,"1,250.9",433.3,2480068.0,14.0,3.0
Dua Lipa,46952548.0,pop,85.0,artist,"38,735.6",12.355,"26,024.2","21,224.3",19333305.0,16.0,9.0
Martin Garrix,15120223.0,"edm, progressive house, electronica",75.0,artist,"12,786.8",2.092,"11,610.4","1,126.0",7339735.0,27.0,9.0
Calvin Harris,23090051.0,edm,84.0,artist,"30,970.6",9.373,"28,790.3","5,338.8",16861708.0,23.0,16.0
XXXTENTACION,51813125.0,emo rap,84.0,artist,"38,143.8",9.596,"32,664.4","26,704.9",62504083.0,25.0,13.0
Lil Peep,15749321.0,"emo rap, cloud rap",82.0,artist,"16,989.1",8.301,"16,133.7","8,743.3",32453600.0,38.0,22.0
Jason Derulo,12465799.0,nan,77.0,artist,"16,678.7",3.248,"12,749.1","7,747.0",7450930.0,16.0,6.0
Sean Paul,5292280.0,dancehall,82.0,artist,"15,708.0",7.377,"8,045.1","3,778.3",2617085.0,12.0,3.0
Dimitri Vegas & Like Mike,3588065.0,"big room, electronica, edm",71.0,artist,"4,374.6",1.535,"3,814.1",25.5,633917.0,14.0,2.0
Imagine Dragons,58439284.0,nan,86.0,artist,"37,554.5",12.864,"35,418.1","31,567.0",32681239.0,19.0,10.0
Lil Wayne,17994695.0,"rap, hip hop",86.0,artist,"36,816.4",13.647,"14,304.3","3,920.1",32201096.0,27.0,7.0
Lana Del Rey,52056377.0,nan,89.0,artist,"37,454.7",19.678,"33,780.4","30,300.0",25565853.0,23.0,7.0
Luis Fonsi,10993069.0,latin,74.0,artist,"9,183.8",2.097,"8,137.9","1,409.9",53494736.0,10.0,5.0
Daddy Yankee,37900199.0,"reggaeton, latin",86.0,artist,"36,874.0",12.795,"17,827.6","9,467.5",4889858.0,15.0,5.0
Camila Cabello,35616541.0,nan,79.0,artist,"20,271.5",4.349,"11,660.8","6,022.8",20114117.0,17.0,10.0
Lunay,9902302.0,reggaeton,69.0,artist,"5,425.1",1.14,"3,001.0",158.5,775349.0,9.0,0.0
21 Savage,23889401.0,nan,84.0,artist,"36,388.8",10.17,"14,830.9","7,405.2",30780577.0,22.0,10.0
J. Cole,27119819.0,rap,83.0,artist,"29,353.6",7.861,"22,110.1","17,359.5",73679210.0,34.0,0.0
Metro Boomin,11727578.0,nan,84.0,artist,"26,414.6",10.438,"12,636.0",113.1,4915589.0,11.0,1.0
Alex Rose,4449566.0,"trap latino, reggaeton, urbano latino",69.0,artist,"3,978.4",1.451,"2,662.3",229.4,2079443.0,14.0,1.0
Rauw Alejandro,31212602.0,"reggaeton, urbano latino, trap latino, latin",89.0,artist,"36,073.9",20.672,"21,774.1","9,025.4",1189789.0,21.0,5.0
Bryant Myers,13664860.0,"trap latino, reggaeton, trap, urbano latino",81.0,artist,"10,751.3",6.631,"3,719.4","1,305.7",1943035.0,15.0,0.0
KAROL G,60577183.0,"reggaeton, latin, urbano latino",88.0,artist,"33,775.3",15.271,"26,150.8","12,961.1",3124793.0,24.0,0.0
SZA,822.0,nan,12.0,artist,"34,919.3",16.099,"22,826.8","17,820.1",23890156.0,15.0,5.0
Khalid,16960408.0,nan,82.0,artist,"33,952.4",7.498,"17,640.5","11,874.0",15120072.0,15.0,10.0
benny blanco,1636941.0,nan,73.0,artist,"6,558.7",1.711,"4,215.1",3.8,5123508.0,7.0,5.0
Becky G,16679779.0,"reggaeton, latin",75.0,artist,"12,137.4",2.465,"8,095.4","1,982.6",1716165.0,12.0,0.0
Lil Baby,21715085.0,nan,85.0,artist,"33,182.7",10.18,"17,032.8","8,023.8",14017462.0,19.0,7.0
Maroon 5,45851544.0,pop,85.0,artist,"32,458.1",12.129,"32,239.3","20,996.4",24993600.0,19.0,0.0
Maluma,38666840.0,"reggaeton, latin, urbano latino",84.0,artist,"31,690.8",10.208,"17,697.6","10,555.1",2418067.0,13.0,4.0
Madonna,8813944.0,nan,79.0,artist,"10,239.3",4.586,"8,648.5","7,210.0",3810528.0,15.0,9.0
Stephanie Beatriz,76091.0,nan,66.0,artist,"1,752.6",0.807,549.4,174.4,557333.0,3.0,1.0
Feid,18958738.0,"reggaeton, urbano latino",86.0,artist,"30,990.6",13.045,"16,769.3","8,854.3",892963.0,23.0,6.0
SAIKO,1885922.0,nan,72.0,artist,"3,149.9",2.074,"1,824.2",763.2,374341.0,12.0,0.0
Yandel,729.0,"koplo, dangdut, sholawat",7.0,artist,"11,705.5",4.18,"5,317.0","1,226.9",236439.0,4.0,0.0
Arijit Singh,164612209.0,"hindi pop, bollywood, desi, bangla pop",90.0,artist,"30,496.1",25.676,"10,879.6","4,404.4",3682715.0,45.0,0.0
Pritam,60537662.0,"bollywood, hindi pop, desi",88.0,artist,"23,804.2",20.572,"20,913.4",9.4,2087579.0,21.0,4.0
Alka Yagnik,20587774.0,"bollywood, hindi pop, desi",82.0,artist,"6,093.1",5.769,"2,102.3",355.9,1213600.0,10.0,0.0
Myke Towers,22049681.0,"reggaeton, trap latino, urbano latino",85.0,artist,"30,358.5",11.914,"12,411.5","8,388.8",687563.0,7.0,2.0
Jay Wheeler,4814080.0,reggaeton,75.0,artist,"7,202.6",2.392,"4,247.2",775.1,657950.0,17.0,3.0
El Alfa,4214418.0,"dembow, urbano latino, latin",77.0,artist,"8,039.1",4.164,"4,441.8",507.4,2185275.0,14.0,5.0
Lil Uzi Vert,19290120.0,melodic rap,82.0,artist,"29,969.6",7.904,"19,367.0","15,378.7",68630053.0,31.0,5.0
Sia,822.0,nan,12.0,artist,"29,081.8",10.173,"19,407.9","14,398.9",13176205.0,14.0,0.0
LSD,361325.0,nan,60.0,artist,"2,078.3",0.33,nan,nan,4028835.0,9.0,8.0
Linkin Park,31914044.0,"nu metal, rap metal, rock, alternative metal",88.0,artist,"28,431.2",19.049,"26,825.5","25,618.1",13720056.0,18.0,11.0
Doja Cat,34845662.0,nan,87.0,artist,"27,933.8",14.487,"23,016.6","16,844.9",22351687.0,18.0,15.0
Shawn Mendes,45744646.0,nan,82.0,artist,"27,625.1",6.757,"26,943.1","20,632.2",23693366.0,19.0,12.0
Sam Smith,26317110.0,soft pop,82.0,artist,"27,448.0",7.471,"22,824.5","17,026.1",28747719.0,18.0,6.0
Shakira,39912067.0,latin pop,86.0,artist,"27,220.7",12.87,"21,014.5","10,249.8",6586973.0,15.0,7.0
Bizarrap,18240814.0,"argentine trap, trap latino, urbano latino",78.0,artist,"14,389.3",3.113,"12,152.3",81.0,5439043.0,29.0,6.0
Alan Walker,41296098.0,nan,78.0,artist,"16,883.8",4.645,"12,898.7","4,955.4",11066512.0,24.0,17.0
Farruko,17079799.0,"reggaeton, trap latino",83.0,artist,"27,207.3",8.323,"7,516.7","4,253.0",1587610.0,11.0,3.0
KEVVO,670628.0,reggaeton,58.0,artist,"1,224.1",0.273,459.3,59.3,380499.0,9.0,0.0
Eslabon Armado,6451017.0,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos",76.0,artist,"7,239.6",2.803,"6,459.7","3,237.8",1989216.0,13.0,0.0
Peso Pluma,24095348.0,"corrido, corridos tumbados, corridos bélicos, música mexicana, sad sierreño, banda, electro corridos",86.0,artist,"27,137.5",14.502,"14,454.6","3,395.8",3703046.0,27.0,3.0
Kali Uchis,9509509.0,nan,83.0,artist,"15,700.4",8.905,"9,053.2","6,302.7",6553815.0,19.0,11.0
Queen,55290795.0,"classic rock, rock, glam rock",83.0,artist,"27,081.1",8.239,"27,001.8","24,858.9",14867943.0,3.0,1.0
Fetty Wap,5122674.0,nan,71.0,artist,"7,777.6",1.553,"4,922.1","2,856.0",144549768.0,33.0,23.0
Morgan Wallen,14073416.0,country,88.0,artist,"26,757.0",17.053,"22,789.0","20,554.5",4248599.0,16.0,6.0
One Direction,40309848.0,nan,83.0,artist,"26,625.9",9.313,"26,625.9","26,539.5",19234182.0,17.0,13.0
Offset,5632989.0,nan,78.0,artist,"13,632.7",3.61,"3,982.3",692.8,4361502.0,8.0,3.0
NAV,89.0,nan,3.0,artist,"8,398.4",1.307,"5,400.8","1,782.5",5497164.0,8.0,0.0
Adele,29432.0,"gospel, african gospel",29.0,artist,"26,381.4",9.963,"26,311.1","26,163.1",30106412.0,11.0,11.0
Idina Menzel,572545.0,musicals,69.0,artist,"3,800.2",1.412,"2,236.5","1,045.3",6146132.0,10.0,3.0
Melanie Martinez,22231073.0,nan,75.0,artist,"10,467.7",3.093,"10,467.7","10,341.4",12083998.0,20.0,17.0
Kristen Bell,164175.0,nan,64.0,artist,"1,760.9",0.609,"1,676.9",117.2,6126510.0,14.0,1.0
Harry Styles,34167754.0,nan,81.0,artist,"25,850.0",6.711,"25,850.0","25,850.0",42894791.0,22.0,19.0
Internet Money,1039421.0,nan,65.0,artist,"3,584.7",0.607,"2,970.9",3.3,5416319.0,17.0,13.0
Gunna,10404869.0,melodic rap,85.0,artist,"25,330.2",11.978,"10,548.3","6,685.0",4748384.0,10.0,1.0
Young Stoner Life,288886.0,nan,63.0,artist,"1,550.0",0.582,"1,109.7",nan,2661911.0,11.0,2.0
Arctic Monkeys,32170271.0,"indie, garage rock",85.0,artist,"25,290.0",11.069,"25,290.0","25,290.0",33516391.0,19.0,11.0
Selena Gomez,53307375.0,nan,81.0,artist,"25,223.1",7.024,"15,113.8","10,409.1",25147519.0,31.0,18.0
Kygo,8671682.0,tropical house,77.0,artist,"18,769.9",2.695,"16,940.5",247.8,6276077.0,27.0,10.0
BLACKPINK,56281848.0,k-pop,81.0,artist,"15,985.0",6.912,"14,830.1","13,975.0",6443655.0,4.0,3.0
Katy Perry,38489430.0,pop,84.0,artist,"25,057.5",9.597,"22,286.1","17,190.3",20380685.0,25.0,22.0
Ty Dolla $ign,7337973.0,trap soul,81.0,artist,"24,782.7",6.073,"4,664.7",302.8,9408954.0,7.0,0.0
"Tyler, The Creator",24539525.0,nan,87.0,artist,"24,558.0",13.0,"21,384.5","10,430.0",34877782.0,20.0,8.0
Olivia Rodrigo,49253503.0,nan,85.0,artist,"24,211.7",11.74,"24,209.5","22,425.2",29894098.0,17.0,16.0
Dalex,5134451.0,reggaeton,73.0,artist,"9,310.8",2.402,"3,833.4",458.0,1102611.0,8.0,2.0
Guaynaa,949328.0,reggaeton,63.0,artist,"2,651.2",0.56,830.0,373.1,518242.0,8.0,3.0
G-Eazy,6302291.0,nan,75.0,artist,"14,390.7",2.566,"10,919.9","1,793.7",17793982.0,21.0,0.0
Halsey,22414645.0,nan,81.0,artist,"23,982.7",5.541,"13,035.4","11,589.6",15992589.0,17.0,9.0
The Beatles,30764355.0,"classic rock, psychedelic rock",83.0,artist,"23,842.0",8.173,"23,839.7","23,834.2",31477134.0,24.0,0.0
Mohit Chauhan,14458705.0,"bollywood, hindi pop, sufi, desi",74.0,artist,"4,094.4",3.39,"1,471.2",614.1,1237850.0,12.0,2.0
Atif Aslam,40945744.0,"bollywood, hindi pop, desi, sufi, qawwali",79.0,artist,"6,251.8",6.847,"4,573.0",732.3,1811662.0,9.0,3.0
Wiz Khalifa,12094871.0,rap,81.0,artist,"23,559.6",7.746,"10,897.6","4,467.2",10215056.0,13.0,1.0
2 Chainz,8313930.0,"rap, southern hip hop",74.0,artist,"13,437.0",2.522,"3,942.9",864.3,12304507.0,12.0,0.0
Snoop Dogg,15756983.0,"g-funk, west coast hip hop, gangster rap, hip hop, old school hip hop, rap",81.0,artist,"18,958.1",5.923,"7,462.4","1,638.1",6440243.0,16.0,0.0
Playboi Carti,15081285.0,rage rap,86.0,artist,"22,956.3",14.11,"13,630.8","8,973.5",18015927.0,17.0,10.0
Pitbull,11971523.0,nan,84.0,artist,"22,601.4",10.749,"15,844.5","1,974.1",4732381.0,17.0,3.0
Booba,3695876.0,"french rap, french r&b, pop urbaine",72.0,artist,"4,239.7",1.963,"3,149.9","2,175.7",8725193.0,17.0,7.0
Kollegah,1402331.0,german hip hop,63.0,artist,"2,724.2",0.494,"2,503.4","1,550.7",7456875.0,27.0,0.0
Marshmello,34495260.0,edm,80.0,artist,"22,278.1",5.633,"16,511.6","1,639.6",52225092.0,29.0,17.0
Logic,6142377.0,nan,71.0,artist,"12,746.5",1.535,"10,208.8","5,473.1",77945599.0,27.0,14.0
Far East Movement,1106631.0,nan,65.0,artist,"2,119.5",0.742,"1,707.4",7.0,1026259.0,17.0,10.0
Frank Ocean,20363501.0,nan,84.0,artist,"22,222.3",9.963,"18,075.8","16,652.2",50823540.0,22.0,16.0
Junior H,1908403.0,"outlaw country, classic country, country, honky tonk, country rock",67.0,artist,"22,200.3",19.059,"14,179.5","10,703.0",736213.0,7.0,0.0
Miley Cyrus,26601402.0,nan,81.0,artist,"22,086.4",6.852,"19,103.9","16,937.0",14801204.0,21.0,9.0
A$AP Rocky,17371449.0,rap,83.0,artist,"21,726.1",8.152,"12,753.7","5,205.7",55730751.0,25.0,0.0
Blueface,6855192.0,nan,64.0,artist,"2,925.5",0.597,"1,619.5",864.7,6824455.0,14.0,7.0
Fuerza Regida,20109996.0,"corrido, corridos tumbados, corridos bélicos, música mexicana, sierreño, banda, electro corridos, sad sierreño",90.0,artist,"20,560.9",24.37,"15,039.4","8,220.8",593067.0,15.0,4.0
Calle 24,2885124.0,"corrido, corridos tumbados, corridos bélicos, electro corridos, sad sierreño",77.0,artist,"3,495.5",4.259,"2,310.0",663.8,614974.0,12.0,0.0
Chino Pacas,5238172.0,"corrido, corridos tumbados, corridos bélicos, música mexicana",76.0,artist,"4,694.0",3.45,"1,932.2","1,302.2",476166.0,5.0,0.0
mgk,882.0,opera,20.0,artist,"12,448.9",3.584,"10,717.8","4,223.5",16156462.0,20.0,7.0
PRO8L3M,1101405.0,nan,71.0,artist,"1,528.6",1.598,"1,426.3","1,179.0",1953797.0,16.0,0.0
Jamby El Favo,1968218.0,trap latino,65.0,artist,"1,268.2",0.82,607.5,396.8,242602.0,11.0,3.0
Sabrina Carpenter,26786200.0,pop,92.0,artist,"19,614.9",26.71,"17,936.8","17,728.6",24300736.0,19.0,16.0
Avicii,23443839.0,edm,79.0,artist,"19,488.9",4.877,"18,729.8","13,123.3",7834875.0,21.0,15.0
OneRepublic,18735475.0,soft pop,82.0,artist,"19,421.9",6.687,"17,933.3","16,014.9",12300448.0,19.0,11.0
Red Hot Chili Peppers,23274504.0,"funk rock, alternative rock, rock",83.0,artist,"19,401.1",8.927,"19,401.1","19,400.0",13720553.0,18.0,13.0
$uicideboy$,8982982.0,"emo rap, horrorcore, cloud rap, trap metal, underground hip hop",83.0,artist,"19,304.6",8.275,"18,458.3","15,040.2",22188701.0,36.0,7.0
DaBaby,12974146.0,nan,77.0,artist,"19,192.5",3.328,"8,812.7","4,940.4",6127903.0,13.0,4.0
Quality Control,1609479.0,nan,64.0,artist,"2,434.5",0.72,"2,433.8",nan,5597111.0,18.0,15.0
Lil Nas X,12308916.0,nan,72.0,artist,"12,549.5",1.694,"12,496.1","7,150.6",32310039.0,23.0,0.0
Lil Yachty,10919797.0,nan,76.0,artist,"12,215.3",2.844,"5,247.4","2,010.9",7820225.0,20.0,3.0
Michael Jackson,37612778.0,nan,85.0,artist,"19,141.1",12.324,"18,331.0","17,079.9",17497931.0,17.0,7.0
Tainy,3420695.0,reggaeton,78.0,artist,"9,702.1",3.981,"4,898.5",6.5,728631.0,10.0,2.0
Miguel,6149102.0,r&b,79.0,artist,"11,655.0",4.649,"6,647.5","4,794.3",7050884.0,11.0,5.0
