Rank,Artist,Daily Streams,Peak Daily,Monthly Listeners
Ricardo Arjona,"7,009.6",2.518,"6,997.9","6,299.7"
Avenged Sevenfold,"7,000.6",2.917,"6,995.5","6,987.4"
Disturbed,"6,999.8",2.564,"6,981.9","6,347.8"
GIMS,"6,996.7",6.408,"5,655.9","2,899.0"
Sachin-Jigar,"6,991.0",7.639,"5,402.9",17.7
Nelly,"6,988.7",2.390,"5,769.2","2,098.1"
Mumford & Sons,"6,979.2",2.281,"6,979.2","6,598.1"
Maiara & Maraisa,"6,975.0",1.581,"2,573.5","2,169.5"
Los Ãngeles Azules,"6,937.7",3.286,"6,676.5","2,436.5"
Phil Collins,"6,925.0",3.453,"6,344.9","6,241.8"
Five Finger Death Punch,"6,919.3",1.923,"6,913.6","6,424.1"
Chappell Roan,"6,909.9",6.911,"6,909.9","6,907.5"
NewJeans,"6,902.1",4.107,"6,637.2","6,617.0"
Pearl Jam,"6,883.9",2.815,"6,880.4","6,867.1"
The Police,"6,880.5",3.757,"6,880.0","6,866.7"
Johnny Cash,"6,849.7",2.165,"5,924.4","5,246.0"
KHEA,"6,836.8",2.306,"3,209.9",597.6
Tiago PZK,"6,821.2",2.526,"3,554.9",639.6
Macklemore & Ryan Lewis,"6,814.9",1.681,"3,726.9",113.6
Thomas Rhett,"6,808.6",1.901,"6,275.3","5,006.4"
MÃ,"6,807.8",1.068,"1,584.1","1,261.3"
Dire Straits,"6,793.4",3.432,"6,793.4","6,792.9"
The Smiths,"6,778.4",4.696,"6,778.4","6,778.4"
Nicki Nicole,"6,750.1",2.268,"2,299.9",923.1
Steve Aoki,"6,725.7",1.396,"3,600.3",41.9
Calum Scott,"6,706.5",2.029,"4,352.1","3,707.2"
CÃ©line Dion,"6,705.3",3.171,"6,337.9","5,569.0"
Ryan Lewis,"6,702.6",1.856,,
Dean Lewis,"6,702.4",2.337,"6,188.2","6,073.2"
JID,"6,682.1",3.021,"2,627.4","1,062.4"
Moneybagg Yo,"6,679.6",2.503,"4,148.4","2,268.1"
Jason Aldean,"6,679.5",2.736,"6,339.4","5,880.6"
Neton Vega,"6,674.1",11.568,"2,966.5","1,742.4"
YNW Melly,"6,631.6",1.720,"6,079.6","4,046.9"
Hailee Steinfeld,"6,617.5",0.689,"6,038.1","2,424.7"
Bryan Adams,"6,603.9",3.052,"6,306.4","5,770.4"
Nelly Furtado,"6,585.5",3.867,"5,725.4","3,036.7"
Bazzi,"6,575.7",0.912,"6,525.6","5,478.9"
benny blanco,"6,558.7",1.711,"4,215.1",3.8
Jason Mraz,"6,527.3",1.577,"6,344.7","5,368.4"
Tom Odell,"6,524.4",3.954,"6,042.2","5,449.6"
LANY,"6,519.9",3.622,"5,666.7","5,600.6"
Blessd,"6,513.7",9.536,"4,516.3",896.4
Alec Benjamin,"6,451.8",1.911,"6,207.0","5,989.1"
Luan Santana,"6,408.2",3.629,"5,489.5","4,112.1"
TOMORROW X TOGETHER,"6,402.6",2.698,"6,128.9","5,427.5"
beabadoobee,"6,383.3",4.334,"4,367.2","3,808.8"
Zion,"6,330.4",3.725,"1,394.5",464.3
Lizzo,"6,293.9",0.899,"6,124.1","5,036.3"
Original Broadway Cast of Hamilton,"6,279.4",3.249,732.2,732.2
Ski Mask The Slump God,"6,269.1",1.054,"4,225.2","2,729.4"
Morad,"6,264.4",3.968,"2,843.3","1,888.2"
Atif Aslam,"6,251.8",6.847,"4,573.0",732.3
Outkast,"6,236.7",2.159,"5,974.2","5,408.5"
B.o.B,"6,184.6",3.232,"4,125.7",503.3
Bibi und Tina,"6,175.4",3.223,"6,175.4","5,569.6"
Grupo Marca Registrada,"6,170.2",3.870,"4,810.8","2,554.3"
Mustard,"6,168.9",1.467,"3,221.1",4.2
Milo j,"6,165.9",8.226,"3,887.5","2,462.8"
Train,"6,151.2",1.443,"5,838.5","5,693.4"
Korn,"6,149.2",3.029,"6,130.0","5,635.9"
will.i.am,"6,141.4",2.407,"2,660.6",536.3
Irshad Kamil,"6,141.0",6.914,,
Mc IG,"6,132.2",5.438,"3,542.4",315.4
Jesse & Joy,"6,122.7",3.233,"5,332.0","3,331.2"
MGMT,"6,121.4",2.020,"4,377.2","4,358.9"
Luciano,"6,105.6",2.131,"4,152.7","2,692.2"
Alka Yagnik,"6,093.1",5.769,"2,102.3",355.9
Juan Gabriel,"6,084.2",4.579,"5,657.9","4,808.2"
The Cure,"6,076.9",2.997,"6,074.0","6,005.3"
Trey Songz,"6,045.2",1.353,"4,305.7","3,001.3"
Fifth Harmony,"6,036.7",1.149,"5,734.0","2,298.9"
Damso,"6,035.3",2.504,"4,067.7","3,550.6"
ENHYPEN,"6,031.9",5.253,"6,011.9","5,896.9"
JENNIE,"6,022.1",7.036,"3,361.3","2,660.5"
George Ezra,"6,017.6",1.067,"6,017.6","5,847.8"
Los Temerarios,"6,011.8",3.966,"6,011.8","6,011.8"
Pablo AlborÃ¡n,"6,010.5",2.281,"4,846.1","3,554.6"
iann dior,"5,988.3",0.963,"2,748.0","1,483.8"
Karan Aujla,"5,986.5",8.488,"4,859.3","1,297.9"
Gera MX,"5,984.3",2.896,"3,706.2","1,333.5"
Ricky Martin,"5,971.2",2.103,"5,115.5","2,503.2"
Chief Keef,"5,948.4",2.854,"4,409.7","2,904.6"
Ovy On The Drums,"5,945.3",7.564,"1,562.9",7.3
MatuÃª,"5,915.5",3.312,"4,418.0","3,135.9"
Marco Antonio SolÃ­s,"5,910.8",4.272,"4,651.7","4,287.9"
Lin-Manuel Miranda,"5,906.8",2.668,"2,028.3",148.7
Ryan Castro,"5,897.1",5.347,"3,391.9","1,635.1"
Phoebe Bridgers,"5,876.2",3.356,"3,534.8","3,439.0"
Armin van Buuren,"5,862.5",2.225,"5,145.7","1,060.5"
Limp Bizkit,"5,848.7",4.643,"5,846.6","5,661.8"
AFROJACK,"5,845.9",2.252,"1,635.1",83.1
Rich The Kid,"5,834.6",0.944,"2,610.4","1,283.6"
Macklemore & Ryan Lewis,"5,812.8",1.592,"2,724.7",
JosÃ© JosÃ©,"5,804.3",4.334,"5,759.3","5,430.7"
d4vd,"5,799.9",4.356,"5,503.3","5,295.4"
Baby Keem,"5,798.4",1.530,"5,353.0","3,546.0"
Los Tigres Del Norte,"5,794.9",3.864,"5,746.3","5,506.8"
Filipe Ret,"5,769.6",3.694,"3,886.5",505.2
Cage The Elephant,"5,753.8",1.602,"5,753.8","5,666.8"
Capital Bra,"5,741.2",1.001,"4,160.0","1,554.6"
Flume,"5,723.1",0.892,"4,673.1",819.7
Soda Stereo,"5,700.0",2.683,"5,700.0","5,697.8"
Juan Luis Guerra 4.40,"5,697.8",2.854,"3,953.2","3,793.1"
Udit Narayan,"5,693.2",5.909,"2,486.9",342.2
Cosculluela,"5,686.9",2.985,"3,116.8","1,197.3"
Swedish House Mafia,"5,684.0",2.685,"5,353.3",779.5
MEDUZA,"5,649.4",1.101,"5,169.8",24.3
Glee Cast,"5,646.8",1.001,"5,646.8","4,774.0"
R3HAB,"5,644.9",1.021,"3,416.9",76.4
Journey,"5,629.3",2.001,"5,629.1","5,543.1"
24kGoldn,"5,628.1",0.715,"4,374.5","1,380.9"
NIKI,"5,617.4",3.696,"4,906.7","4,527.4"
Lord Huron,"5,601.0",3.982,"5,601.0","5,118.3"
A$AP Ferg,"5,587.6",1.032,"3,589.7","1,159.4"
John Williams,"5,586.9",2.415,"3,731.4","2,224.8"
Empire Of The Sun,"5,581.2",3.422,"3,732.4","3,410.7"
Dominic Fike,"5,564.8",2.261,"4,933.7","4,442.1"
AJR,"5,544.0",1.493,"5,228.4","4,856.0"
Gwen Stefani,"5,540.9",2.407,"3,831.3","1,932.6"
LUDMILLA,"5,538.0",2.002,"3,390.1","1,633.9"
Marvin Gaye,"5,532.4",1.911,"5,435.3","3,085.3"
X Ambassadors,"5,527.9",1.644,"3,076.2","2,471.1"
James Bay,"5,527.3",0.787,"5,368.8","4,944.1"
Galantis,"5,524.9",0.845,"4,775.2","2,954.2"
Tyler Childers,"5,518.2",2.657,"5,406.4","4,662.1"
Santa Fe Klan,"5,517.8",2.353,"2,955.4","1,049.4"
Trueno,"5,504.3",2.850,"3,999.3","2,200.6"
Bob Dylan,"5,497.1",2.422,"5,484.0","5,178.0"
Cazzu,"5,492.6",3.082,"2,114.8","1,137.5"
The Cranberries,"5,483.8",3.004,"5,483.8","5,478.0"
LuÃ­sa Sonza,"5,466.9",2.144,"3,045.5","1,648.9"
Young Miko,"5,465.2",3.527,"1,650.8","1,042.8"
Jelly Roll,"5,443.1",4.542,"3,691.9","2,632.1"
Nio Garcia,"5,440.8",0.881,"4,299.8",98.6
Gerardo Ortiz,"5,433.1",2.597,"4,371.1","4,079.2"
Daya,"5,426.6",1.538,"2,214.2","2,075.5"
Lunay,"5,425.1",1.140,"3,001.0",158.5
Becky Hill,"5,418.0",1.029,"2,086.5",394.5
AlemÃ¡n,"5,409.8",4.236,"3,460.3",984.3
Rema,"5,406.1",3.271,"4,204.0","2,221.2"
The Game,"5,398.3",1.881,"4,192.5",569.6
Laufey,"5,397.7",8.028,"5,024.3","4,406.1"
bbno$,"5,387.0",3.768,"2,882.1",967.7
Skillet,"5,386.1",2.548,"5,374.7","5,338.5"
Jessie J,"5,382.1",1.504,"5,255.2","2,629.7"
Depeche Mode,"5,375.7",2.824,"5,373.3","5,304.9"
Nas,"5,374.6",1.850,"3,938.5","2,419.5"
Grupo Menos Ã Mais,"5,359.7",7.950,"3,817.7","2,193.8"
KK,"5,327.9",5.120,"2,000.9","1,067.6"
King Von,"5,324.8",2.927,"4,612.3","3,235.9"
Foster The People,"5,323.4",1.323,"5,143.2","5,034.6"
Diddy,"5,311.2",1.822,"2,235.7",16.4
Tones And I,"5,299.7",1.194,"5,228.5","5,221.2"
Weezer,"5,297.9",1.775,"5,238.4","5,181.0"
Carlos Vives,"5,293.2",1.750,"4,471.0","1,705.9"
Madison Beer,"5,267.5",3.378,"3,855.9","3,505.5"
Jax Jones,"5,259.3",1.022,"3,725.7",10.4
Aitana,"5,253.0",3.692,"3,188.3","1,611.3"
V,"5,237.6",3.317,"5,081.3","4,132.9"
Lucenzo,"5,230.0",2.860,"2,872.6",423.2
Lil Jon,"5,217.6",2.454,753.3,1.6
Cheat Codes,"5,212.3",0.447,"3,296.4",64.6
Lil Skies,"5,210.5",0.666,"4,224.8","2,512.3"
Emilia,"5,207.9",2.725,"2,734.2","1,173.9"
Kumaar,"5,204.3",3.394,149.3,
Hillsong Worship,"5,199.4",2.582,"5,199.4","1,123.8"
Skepta,"5,197.9",3.337,"1,872.0",736.1
"Earth, Wind & Fire","5,191.0",2.160,"4,998.2","4,241.7"
TOTO,"5,182.1",2.080,"5,180.1","5,157.3"
Ha*Ash,"5,180.9",2.448,"4,200.7","3,288.9"
Dan + Shay,"5,163.7",0.831,"4,977.4","3,589.8"
Manoj Muntashir,"5,163.1",4.281,0.3,
Arcane,"5,156.3",3.455,"1,891.2",74.7
Hugo & Guilherme,"5,154.9",2.660,"3,680.7","2,278.6"
Daryl Hall & John Oates,"5,151.2",2.265,"5,151.2","4,883.5"
Paul McCartney,"5,150.4",1.525,"3,214.6","1,813.1"
Iron Maiden,"5,141.5",1.894,"5,141.5","5,141.5"
AP Dhillon,"5,137.5",3.861,"4,789.3",950.7
Lukas Graham,"5,134.3",1.279,"4,836.0","4,614.7"
Wale,"5,121.4",2.354,"2,714.3",399.7
Mc Don Juan,"5,119.4",2.375,"1,174.7",351.8
Jubin Nautiyal,"5,117.3",3.372,"2,551.2",940.8
Los Tucanes De Tijuana,"5,111.3",3.331,"4,839.5","4,766.1"
Shaggy,"5,110.8",2.040,"3,599.3",724.8
Zac Brown Band,"5,105.3",1.509,"5,092.1","4,216.3"
Ice Cube,"5,104.9",1.507,"4,698.6","3,687.4"
C. Tangana,"5,098.5",1.970,"4,434.6","1,363.7"
Blake Shelton,"5,097.3",1.354,"4,318.8","3,437.9"
Eric Church,"5,089.3",1.506,"4,267.3","4,229.8"
Wyclef Jean,"5,080.1",2.310,559.2,76.6
Mon Laferte,"5,078.0",4.180,"4,360.0","3,120.6"
ILLENIUM,"5,072.9",1.337,"3,578.1",178.1
PNL,"5,068.8",2.031,"5,052.0","4,951.9"
Julieta Venegas,"5,063.8",2.631,"2,884.2","2,459.7"
Ludovico Einaudi,"5,053.6",2.105,"4,990.9","3,153.5"
Passenger,"5,048.7",0.986,"5,048.7","4,738.8"
Lil Pump,"5,047.0",0.445,"2,412.7","1,971.8"
PnB Rock,"5,039.8",0.845,"2,214.2","1,103.5"
Badshah,"5,030.4",2.707,"3,165.2",316.1
Black Sabbath,"5,029.5",2.190,"5,029.5","5,025.9"
Rod Stewart,"5,027.1",2.331,"4,079.6","3,822.2"
Diljit Dosanjh,"5,026.8",3.768,"4,404.6","2,299.2"
MARINA,"5,025.7",1.891,"4,781.4","4,727.7"
Sleepy Hallow,"5,016.6",1.243,"4,217.6","2,659.3"
Pusha T,"5,015.1",1.996,"1,521.8",552.1
White Noise Radiance,"5,009.2",7.101,"4,993.5",73.2
GuÃ¨,"4,989.8",2.012,"2,572.9",777.1
The Doors,"4,987.2",1.822,"4,759.2","4,757.7"
Maren Morris,"4,973.0",0.926,"2,075.9","1,742.5"
Mrs. GREEN APPLE,"4,967.6",4.615,"4,967.6","4,562.2"
Latto,"4,962.1",4.534,"1,489.5",919.1
James Blunt,"4,959.7",1.353,"4,108.4","4,073.5"
PinkPantheress,"4,956.6",3.935,"4,689.0","3,378.9"
LE SSERAFIM,"4,947.5",6.960,"4,928.0","4,524.7"
Papa Roach,"4,940.1",1.450,"4,833.3","4,541.8"
DJ Nelson,"4,938.1",1.865,"1,547.7",800.4
The MarÃ­as,"4,937.7",9.715,"3,962.6","3,907.2"
Topic,"4,931.5",1.490,"2,337.6",39.2
girl in red,"4,930.0",2.387,"4,917.8","4,857.0"
Carly Rae Jepsen,"4,928.6",1.353,"4,035.7","3,944.1"
Noah Cyrus,"4,920.0",1.552,"3,741.3","2,026.8"
R.E.M.,"4,917.7",1.805,"4,917.7","4,907.5"
Lyanno,"4,907.7",1.711,636.9,110.1
Kacey Musgraves,"4,888.9",1.892,"3,088.4","2,945.9"
Iggy Azalea,"4,849.0",1.004,"3,086.3",808.0
Stormzy,"4,842.5",1.261,"2,749.1","1,614.0"
Destiny's Child,"4,827.9",1.334,"4,804.6","4,518.7"
Ufo361,"4,824.9",1.148,"3,832.2","1,936.7"
Key Glock,"4,820.7",2.237,"3,686.7","3,661.3"
Tim McGraw,"4,806.4",1.364,"4,263.5","3,245.8"
Seeb,"4,804.3",0.784,976.1,8.6
Lil Mosey,"4,802.9",0.510,"4,138.6","3,369.7"
Tinashe,"4,785.0",3.774,"2,242.3","1,019.1"
George Michael,"4,783.1",1.915,"4,719.5","4,149.5"
Lazza,"4,779.3",1.964,"2,860.2","1,564.2"
Geolier,"4,763.0",2.172,"2,568.9",977.8
Pentatonix,"4,760.9",0.790,"4,738.5","4,190.3"
Natalia Lafourcade,"4,759.7",2.024,"3,341.3","2,344.6"
Christina Perri,"4,758.7",2.040,"4,488.5","4,292.4"
Mithoon,"4,757.4",4.383,"2,135.5",39.6
MC Cabelinho,"4,755.0",2.368,"2,646.0",195.4
Joey Bada$$,"4,749.2",1.366,"3,359.7","2,665.9"
The Beach Boys,"4,746.3",1.431,"4,737.4","4,698.6"
Evanescence,"4,741.5",2.724,"4,740.0","4,735.6"
Jorja Smith,"4,735.4",1.644,"3,139.9","1,993.4"
Enya,"4,725.7",2.328,"3,955.3","3,923.8"
Gzuz,"4,724.8",1.437,"1,993.2",866.5
The Black Keys,"4,716.1",1.143,"4,715.9","4,694.4"
Elevation Worship,"4,700.0",2.962,"4,622.6","2,456.3"
Chino Pacas,"4,694.0",3.450,"1,932.2","1,302.2"
YOASOBI,"4,692.7",1.880,"4,690.6","4,628.1"
MF DOOM,"4,682.0",1.963,"2,499.9","1,269.6"
Kenny Chesney,"4,677.7",1.264,"4,364.5","3,739.6"
Mike Posner,"4,671.4",0.912,"4,355.7",673.4
aespa,"4,668.7",3.118,"4,649.8","4,555.0"
El Fantasma,"4,666.7",1.417,"4,420.2","3,151.9"
Milky Chance,"4,664.9",1.180,"4,655.3","4,360.3"
Van Morrison,"4,656.5",1.274,"4,387.0","4,288.3"
Norah Jones,"4,655.3",1.604,"4,277.6","4,174.7"
Lynyrd Skynyrd,"4,649.6",1.626,"4,635.8","4,604.8"
Charlie Brown Jr.,"4,649.4",2.655,"4,583.4","4,419.9"
Jeremy Zucker,"4,648.7",0.726,"4,319.6","2,657.7"
Melendi,"4,645.4",2.037,"4,336.5","3,369.2"
Dei V,"4,629.1",4.783,"1,753.3",815.0
LISA,"4,614.1",2.980,"3,991.7","3,201.5"
JVKE,"4,605.2",2.695,"3,711.2","3,264.0"
Bruno & Marrone,"4,592.3",2.118,"3,771.3","3,128.1"
D-Block Europe,"4,587.8",2.019,"3,014.4","1,464.2"
ROSÃ,"4,582.0",4.781,"4,407.9","2,180.1"
Sonu Nigam,"4,578.6",4.804,"2,451.1",560.4
Dean Martin,"4,578.5",2.495,"4,547.8","4,512.6"
Sigala,"4,576.5",0.647,"3,837.3",585.8
ZoÃ©,"4,574.3",2.617,"4,553.4","4,222.1"
Niska,"4,563.2",1.823,"2,564.6","1,601.4"
Kid Ink,"4,553.8",1.058,"2,740.8",711.2
Los Bukis,"4,545.0",3.198,"4,253.2","4,250.9"
George Strait,"4,543.3",2.179,"4,396.3","4,304.9"
Ella Henderson,"4,541.6",1.970,"1,609.7","1,056.1"
Jaden,"4,541.6",0.875,"2,538.5","1,861.2"
Capo Plaza,"4,531.4",1.871,"2,502.5","1,498.4"
Ruth B.,"4,524.4",1.476,"4,382.0","3,922.2"
Sade,"4,523.8",4.214,"4,523.8","4,486.1"
Leslie Odom Jr.,"4,518.0",2.321,"2,310.3",117.9
Yo Yo Honey Singh,"4,514.2",4.193,"3,480.7","1,874.7"
Orochi,"4,510.7",3.361,"2,834.9",32.9
Keane,"4,503.4",2.121,"4,503.4","4,447.7"
Busta Rhymes,"4,495.0",1.470,"1,783.6",677.1
Eric Clapton,"4,489.8",1.708,"4,209.8","3,720.1"
Adam Levine,"4,485.6",2.221,583.8,566.8
Stromae,"4,483.4",2.280,"3,910.1","3,499.0"
Sam Hunt,"4,481.8",0.705,"4,226.3","4,226.3"
Ms. Lauryn Hill,"4,477.5",1.802,"2,155.0","1,903.1"
Carlos Rivera,"4,477.2",1.262,"3,524.1","2,577.2"
Jeezy,"4,474.3",1.748,"2,262.1",734.7
Rise Against,"4,467.7",1.154,"4,462.4","4,458.6"
Birdy,"4,462.3",1.237,"4,000.2","3,715.4"
Ray Dalton,"4,462.1",1.436,361.1,238.6
Dolly Parton,"4,453.3",1.557,"3,640.0","2,654.7"
Simon & Garfunkel,"4,449.7",1.164,"4,449.7","4,448.2"
Imanbek,"4,438.4",0.765,"1,342.2",2.3
The Goo Goo Dolls,"4,437.4",3.778,"4,437.4","4,430.1"
Mainstreet,"4,434.5",1.911,46.4,
Mau y Ricky,"4,427.6",0.786,"3,025.5",472.9
Robbie Williams,"4,422.1",1.624,"4,346.1","3,830.4"
Ozzy Osbourne,"4,419.8",2.784,"3,510.8","3,300.7"
keshi,"4,419.4",2.264,"4,193.1","4,154.8"
Bill Withers,"4,403.1",1.901,"4,217.3","3,350.5"
Sido,"4,401.1",1.418,"2,867.3","1,645.2"
alt-J,"4,397.5",0.964,"4,393.1","4,242.4"
Die drei ??? Kids,"4,388.4",2.291,"4,388.4","4,388.4"
CNCO,"4,380.0",0.826,"3,901.7","2,573.7"
Dimitri Vegas & Like Mike,"4,374.6",1.535,"3,814.1",25.5
Rudimental,"4,371.6",0.834,"3,682.7",32.7
Scorpions,"4,371.3",2.287,"4,370.0","4,331.0"
Juan MagÃ¡n,"4,369.6",1.212,"2,499.4",651.8
MC Hariel,"4,363.9",2.559,"1,922.1",485.8
Van Halen,"4,349.4",1.367,"4,349.4","4,348.6"
Carrie Underwood,"4,347.9",1.186,"3,530.5","3,314.0"
Marracash,"4,345.5",2.264,"2,741.1","1,244.1"
Sam Feldt,"4,343.3",0.623,"3,190.6",103.2
Veigh,"4,336.6",3.815,"2,358.4",19.3
Ferrugem,"4,333.2",2.896,"2,994.7","2,180.1"
Sid Sriram,"4,331.1",3.784,"1,966.9",671.9
Alan Jackson,"4,328.1",1.947,"4,021.0","3,554.2"
i-dle,"4,318.0",1.268,"3,310.5","3,297.5"
Jon Pardi,"4,314.6",2.213,"4,003.8","3,969.1"
Banda El Recodo,"4,306.9",2.782,"4,197.7","4,060.1"
Yuvan Shankar Raja,"4,305.6",2.902,"3,663.7",284.5
Gente De Zona,"4,298.8",1.357,"1,680.0",377.3
Juhn,"4,291.4",1.946,560.2,78.3
Breaking Benjamin,"4,290.3",1.527,"4,222.4","4,139.8"
Tears For Fears,"4,288.6",2.047,"4,233.6","3,675.6"
AURORA,"4,282.7",1.848,"3,405.7","3,254.4"
Leon Bridges,"4,273.4",1.913,"2,759.6","2,532.7"
The Smashing Pumpkins,"4,268.8",2.488,"4,268.8","4,268.0"
Dermot Kennedy,"4,260.3",1.190,"3,160.5","3,113.9"
Aya Nakamura,"4,257.7",2.077,"3,885.1","2,757.3"
WILLOW,"4,257.6",0.950,"2,707.8","2,167.7"
Gazo,"4,252.9",1.908,"2,238.4","1,195.4"
Hillsong UNITED,"4,251.3",1.357,"4,046.2",836.4
Fred again..,"4,251.2",3.389,"3,840.7",835.8
Darshan Raval,"4,248.0",1.803,"3,381.3","2,363.7"
Dilsinho,"4,242.6",1.154,"3,124.4","1,745.1"
Booba,"4,239.7",1.963,"3,149.9","2,175.7"
Canserbero,"4,230.6",2.311,"4,042.2","2,733.5"
Denzel Curry,"4,224.7",1.420,"2,952.2","1,532.7"
Jowell & Randy,"4,222.0",1.951,"1,194.3",452.4
Shubh,"4,218.4",3.431,"4,218.4","3,899.8"
The Fray,"4,216.5",2.151,"4,210.5","4,209.5"
Sublime,"4,215.5",1.410,"4,215.5","4,107.8"
Tulus,"4,203.8",3.038,"4,017.4","4,017.4"
KISS,"4,202.0",1.693,"4,201.5","4,178.3"
Joel Corry,"4,190.3",0.591,"3,722.0",461.4
Neha Kakkar,"4,190.2",2.401,"1,084.8",30.8
Shania Twain,"4,181.1",1.626,"3,710.8","3,511.7"
Gustavo Mioto,"4,170.3",1.880,"3,131.7","1,570.6"
Dream Supplier,"4,162.4",6.878,"4,159.9",122.7
Jay Chou,"4,159.8",2.047,"4,147.1","3,649.5"
Young Dolph,"4,157.4",1.759,"3,302.4","1,704.4"
Alice In Chains,"4,156.7",2.672,"4,145.8","4,145.2"
La Oreja de Van Gogh,"4,152.9",2.449,"4,120.3","3,903.9"
Missy Elliott,"4,151.2",1.255,"1,747.2","1,062.2"
Almighty,"4,142.8",2.821,587.4,412.1
Ivan Cornejo,"4,142.5",3.483,"3,367.4","3,015.4"
Alex Warren,"4,132.3",10.775,"4,132.3","3,645.2"
Vishal Mishra,"4,131.0",4.366,"3,145.1",872.8
Shankar Mahadevan,"4,128.8",3.996,"1,835.9",817.0
Bradley Cooper,"4,127.3",1.096,447.0,447.0
Kim Petras,"4,125.9",1.468,"1,090.6",955.7
Sabaton,"4,123.5",1.885,"4,092.6","4,019.6"
Dadju,"4,118.8",1.616,"2,777.7","1,390.8"
FloyyMenor,"4,111.8",3.266,"3,613.7",876.4
Tems,"4,110.1",4.125,"1,862.5","1,638.9"
Joyner Lucas,"4,105.3",0.876,"3,125.1","1,448.2"
Gabry Ponte,"4,101.1",1.823,"1,801.5",191.2
Mohit Chauhan,"4,094.4",3.390,"1,471.2",614.1
Dido,"4,093.6",2.378,"2,012.3","1,970.2"
Chayanne,"4,087.6",2.175,"3,992.9","3,718.2"
BigXthaPlug,"4,075.1",4.877,"3,569.8","2,846.5"
Shinedown,"4,072.8",1.496,"4,072.8","4,055.4"
Ghost,"4,070.5",2.366,"4,070.5","4,026.0"
BONES,"4,070.4",1.719,"3,615.1","3,035.6"
Yuridia,"4,066.6",1.616,"3,742.2","2,609.1"
Boyce Avenue,"4,065.1",0.721,"4,065.1","2,487.6"
Elley DuhÃ©,"4,064.9",1.301,"2,073.0","1,469.0"
Rage Against The Machine,"4,058.1",0.964,"4,058.1","4,058.1"
Oliver Tree,"4,052.6",0.946,"3,277.5","2,076.7"
Xavi,"4,050.5",3.686,"3,943.6","2,730.0"
La Adictiva,"4,044.8",1.720,"3,979.3","3,383.0"
Sum 41,"4,043.9",1.403,"4,031.4","4,026.0"
The White Stripes,"4,041.9",0.982,"4,041.9","3,966.1"
Rain Sounds,"4,027.3",5.877,69.5,44.6
Jay Rock,"4,023.4",1.301,"1,708.0",287.5
SAINt JHN,"4,020.7",0.591,"3,767.3",969.7
Keith Urban,"4,017.5",0.905,"3,375.3","2,657.6"
Hungria,"4,006.8",2.441,"3,302.9","2,380.5"
Bing Crosby,"4,006.7",0.896,"3,869.1","3,055.9"
Cody Johnson,"4,001.3",2.644,"3,873.8","3,674.3"
SCH,"3,998.7",1.842,"2,494.3","2,013.6"
Background White Noise,"3,997.3",6.406,34.4,0.6
Baby Sleeps,"3,989.2",6.503,32.2,14.2
Volbeat,"3,984.2",1.293,"3,984.2","3,492.9"
L7NNON,"3,979.7",1.551,"1,833.5",487.3
Alex Rose,"3,978.4",1.451,"2,662.3",229.4
CeeLo Green,"3,972.2",1.611,"1,767.5","1,586.6"
DÃ­melo Flow,"3,966.1",1.008,852.2,0.2
Nat King Cole,"3,963.9",1.519,"3,837.0","3,686.7"
Magenta,"3,962.8",2.198,,
Sting,"3,951.2",1.895,"3,204.7","2,564.7"
XamÃ£,"3,943.6",1.497,"1,325.8",14.9
Ken Carson,"3,941.4",3.076,"3,529.4","3,202.4"
Axwell,"3,925.5",0.946,387.1,145.9
David Bisbal,"3,920.6",1.369,"2,659.5","1,684.5"
Vishal Dadlani,"3,919.7",2.615,842.4,218.3
Normani,"3,913.0",0.892,880.6,483.5
Brray,"3,907.0",1.831,659.8,64.5
DNCE,"3,906.0",0.740,"3,305.5","3,086.1"
Sunidhi Chauhan,"3,901.7",3.382,716.7,175.9
Olly Alexander (Years & Years),"3,895.0",1.179,"3,380.1","2,805.6"
White Noise Baby Sleep,"3,893.9",1.032,"2,891.6",995.7
Pierce The Veil,"3,878.9",2.847,"3,858.2","3,090.6"
Kevin Kaarl,"3,875.7",2.385,"3,841.3","3,813.8"
Guilherme & Benuto,"3,874.0",1.324,"3,025.3","1,273.5"
JP Cooper,"3,866.5",0.558,"2,094.1","1,730.0"
AminÃ©,"3,865.1",0.519,"3,404.3","2,757.3"
Sorriso Maroto,"3,865.0",2.505,"2,798.2","1,786.4"
The Vamps,"3,854.8",0.508,"3,361.9","2,040.3"
S. P. Balasubrahmanyam,"3,852.5",4.482,"2,039.9",541.3
Jimi Hendrix,"3,852.3",0.939,"3,851.2","3,820.8"
Ciara,"3,849.0",1.370,"3,047.0","1,264.0"
KayBlack,"3,848.8",2.035,"2,548.4",26.5
Intocable,"3,842.9",2.374,"3,708.2","3,700.3"
Prince,"3,842.2",1.274,"3,817.3","3,567.2"
PLK,"3,841.5",2.221,"2,955.1","2,052.7"
3 Doors Down,"3,840.9",1.392,"3,838.7","1,601.2"
Os BarÃµes Da Pisadinha,"3,840.4",0.718,"3,171.3","2,266.7"
Electric Light Orchestra,"3,838.9",1.414,"3,838.8","3,838.8"
Cali Y El Dandee,"3,836.9",0.856,"2,519.7",993.1
Ella Mai,"3,836.7",1.268,"3,212.0","2,512.3"
Diego & Victor Hugo,"3,835.5",3.255,"3,400.8","1,808.8"
Murilo Huff,"3,829.4",2.870,"3,097.9","1,617.2"
Continental,"3,825.9",3.612,14.5,
