artist,artist_id,followers,genres,popularity,type,rank,daily streams,peak daily,monthly listeners,total_page_views,total_songs_count,songs_with_duration_count,labels
Shaan,5cB4d4jPYjMT326sjihQ4m,9242260.0,"bollywood, hindi pop, desi, desi pop, bangla pop",69.0,artist,"1,826.8",1.504,486.0,95.9,260615.0,7.0,0.0,"Saina Audios, Muzik247, Sony Music Entertainment India Pvt. Ltd., The Malayala Manorama Company Pvt. Ltd., Saregama India Ltd., New Music, Manorama Music"
Catfish and the Bottlemen,2xaAOVImG2O6lURwqperlD,1177928.0,"indie, indie rock",62.0,artist,"1,823.5",0.482,"1,823.5","1,823.5",1805764.0,16.0,16.0,"Communion Group Limited, under exclusive licence to Island Records, a division of Universal Music Operations Limited, Island Records, a division of Universal Music Operations Limited, Communion Group Limited, under exclusive licence to Universal Music Operations Limited, Universal Music Operations Limited"
Cup of Joe,61nn6nOoLWjVC1ER2qFAvN,4564630.0,"opm, harana, p-pop, pinoy indie, kundiman",76.0,artist,"1,822.1",3.322,"1,822.1","1,484.4",1160244.0,15.0,1.0,"Vicor Music, Viva Records, Ivory Music, Viva Records, Vicor Music, Viva Records"
Crowded House,7ohlPA8dRBtCf92zaZCaaB,1054837.0,nan,68.0,artist,"1,819.1",1.111,"1,819.1","1,818.9",815925.0,16.0,10.0,"Lester Records Ltd under exclusive license to BMG Rights Management (Australia) Pty Ltd, ARCA, Lester Records Ltd under exclusive licence to BMG Rights Management (US) LLC, Crowded house, Lester Records Ltd under exclusive license to BMG Rights Management (US) LLC, Crowded House, Lester Records Ltd., Lester Records Ltd., under exclusive license to Universal Music Australia Pty Ltd, Capitol Records LLC"
Elvis Crespo,1c22GXH30ijlOfXhfLz9Df,1231943.0,"merengue, latin dance, salsa, latin",66.0,artist,"1,817.4",0.822,"1,072.4",898.5,488780.0,11.0,7.0,"Puntería Records. Distributed by Sony Music Entertainment US Latin LLC, Flash Music"
Fedez,3pgCLfNbw5ozIfoNsvDU7i,2112338.0,nan,61.0,artist,"1,815.3",0.382,"1,268.2",387.6,499159.0,10.0,2.0,"Sony Music Entertainment Italy S.p.a., Sony Music Entertainment Italy S.p.A."
Yeah Yeah Yeahs,3TNt4aUIxgfy9aoaft5Jj2,1477417.0,indie rock,66.0,artist,"1,814.6",1.05,"1,814.6","1,176.2",1426443.0,17.0,11.0,"Secretly Canadian, Yeah Yeah Yeahs, under exclusive license to Interscope Records in the U.S.A., Polydor Ltd. (UK), UMG Recordings, Inc., Yeah Yeah Yeahs, under exclusive license to Interscope Records in the U.S.A"
Haricharan,1QvyquqkuuwUzdszyoKIy4,3886417.0,"mollywood, tollywood, tamil pop, telugu pop, malayalam pop, kollywood, tamil dance, kannada pop",70.0,artist,"1,813.4",1.633,773.8,74.7,0.0,4.0,0.0,"Muzik247, Strumm Entertainment Pvt. Ltd., East Coast Audio Entertainments"
Josman,6dbdXbyAWk2qx8Qttw0knR,1447947.0,french rap,70.0,artist,"1,812.2",0.996,"1,560.8","1,422.3",831728.0,15.0,3.0,"Sideline, Choke Industry, SIDELINE, SIDELINE, distributed by Sony Music Entertainement France SAS"
Pawan Singh,1T7MiVJ2MJlR5GKi11w4VT,2020281.0,"bhojpuri pop, bhojiwood",73.0,artist,"1,265.8",1.897,951.6,183.9,20210.0,5.0,0.0,
